date,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2018-08-16 09:58:55,Sell,1,7400.0,7421.75,7390.0,2.05,entry_sell,0,-2.05,9997.95,9997.95
2018-08-16 09:59:07,Buy,1,7398.75,7398.75,7390.0,2.05,stop loss,25.0,22.95,10020.9,10020.9
2018-08-17 10:06:10,Sell,1,7348.75,7382.25,7338.75,2.05,entry_sell,0,-2.05,10018.85,10020.9
2018-08-17 10:06:10,Buy,1,7348.0,7348.0,7338.75,2.05,stop loss,15.0,12.95,10031.8,10031.8
2018-08-20 09:41:31,Sell,1,7391.0,7407.25,7381.0,2.05,entry_sell,0,-2.05,10029.75,10031.8
2018-08-20 09:41:50,Buy,1,7391.0,7391.0,7381.0,2.05,stop loss,0.0,-2.05,10027.7,10031.8
2018-08-21 09:47:08,Buy,1,7415.25,7398.25,7425.25,2.05,entry_buy,0,-2.05,10025.65,10031.8
2018-08-21 09:48:28,Sell,1,7415.5,7415.5,7425.25,2.05,stop loss,5.0,2.95,10028.6,10031.8
2018-08-22 10:02:01,Sell,1,7388.25,7416.25,7378.25,2.05,entry_sell,0,-2.05,10026.55,10031.8
2018-08-22 10:02:12,Buy,1,7386.75,7386.75,7378.25,2.05,stop loss,30.0,27.95,10054.5,10054.5
2018-08-23 09:40:03,Buy,1,7447.5,7422.25,7457.5,2.05,entry_buy,0,-2.05,10052.45,10054.5
2018-08-23 09:40:35,Sell,1,7448.75,7448.75,7457.5,2.05,stop loss,25.0,22.95,10075.4,10075.4
2018-08-24 09:42:17,Buy,1,7462.0,7446.0,7472.0,2.05,entry_buy,0,-2.05,10073.35,10075.4
2018-08-24 10:01:08,Sell,1,7463.0,7463.0,7472.0,2.05,stop loss,20.0,17.95,10091.3,10091.3
2018-08-27 09:58:58,Buy,1,7540.75,7517.75,7550.75,2.05,entry_buy,0,-2.05,10089.25,10091.3
2018-08-27 09:59:02,Sell,1,7542.25,7542.25,7550.75,2.05,stop loss,30.0,27.95,10117.2,10117.2
2018-08-28 09:45:32,Sell,1,7580.75,7597.25,7570.75,2.05,entry_sell,0,-2.05,10115.15,10117.2
2018-08-28 09:46:13,Buy,1,7579.75,7579.75,7570.75,2.05,stop loss,20.0,17.95,10133.1,10133.1
2018-08-29 09:40:26,Buy,1,7602.75,7589.25,7612.75,2.05,entry_buy,0,-2.05,10131.05,10133.1
2018-08-29 09:40:57,Sell,1,7610.0,7610.0,7612.75,2.05,stop loss,145.0,142.95,10274.0,10274.0
2018-08-30 10:18:18,Buy,1,7662.75,7642.5,7672.75,2.05,entry_buy,0,-2.05,10271.95,10274.0
2018-08-30 10:20:35,Sell,1,7664.75,7664.75,7672.75,2.05,stop loss,40.0,37.95,10309.9,10309.9
2018-08-31 09:46:25,Buy,1,7667.5,7640.75,7677.5,2.05,entry_buy,0,-2.05,10307.85,10309.9
2018-08-31 09:46:28,Sell,1,7668.5,7668.5,7677.5,2.05,stop loss,20.0,17.95,10325.8,10325.8
2018-09-03 09:45:05,Buy,1,7672.75,7668.5,7682.75,2.05,entry_buy,0,-2.05,10323.75,10325.8
2018-09-03 09:54:16,Sell,1,7673.5,7673.5,7682.75,2.05,stop loss,15.0,12.95,10336.7,10336.7
2018-09-04 09:40:00,Sell,1,7598.75,7646.75,7588.75,2.05,entry_sell,0,-2.05,10334.65,10336.7
2018-09-04 09:40:28,Buy,1,7595.0,7595.0,7588.75,2.05,stop loss,75.0,72.95,10407.6,10407.6
2018-09-05 09:40:30,Sell,1,7596.25,7615.5,7586.25,2.05,entry_sell,0,-2.05,10405.55,10407.6
2018-09-05 09:40:32,Buy,1,7595.5,7595.5,7586.25,2.05,stop loss,15.0,12.95,10418.5,10418.5
2018-09-06 09:40:18,Sell,1,7502.0,7539.0,7492.0,2.05,entry_sell,0,-2.05,10416.45,10418.5
2018-09-06 09:40:22,Buy,1,7500.75,7500.75,7492.0,2.05,stop loss,25.0,22.95,10439.4,10439.4
2018-09-07 09:40:15,Buy,1,7430.5,7402.0,7440.5,2.05,entry_buy,0,-2.05,10437.35,10439.4
2018-09-07 09:40:35,Sell,1,7430.5,7430.5,7440.5,2.05,stop loss,0.0,-2.05,10435.3,10439.4
2018-09-10 09:47:28,Sell,1,7438.25,7476.75,7428.25,2.05,entry_sell,0,-2.05,10433.25,10439.4
2018-09-10 09:47:32,Buy,1,7438.0,7438.0,7428.25,2.05,stop loss,5.0,2.95,10436.2,10439.4
2018-09-11 09:40:18,Buy,1,7434.25,7404.5,7444.25,2.05,entry_buy,0,-2.05,10434.15,10439.4
2018-09-11 09:41:32,Sell,1,7434.25,7434.25,7444.25,2.05,stop loss,0.0,-2.05,10432.1,10439.4
2018-09-13 09:41:56,Buy,1,7594.5,7560.0,7604.5,2.05,entry_buy,0,-2.05,10430.05,10439.4
2018-09-13 09:42:26,Sell,1,7595.5,7595.5,7604.5,2.05,stop loss,20.0,17.95,10448.0,10448.0
2018-09-14 09:40:45,Buy,1,7607.5,7583.0,7617.5,2.05,entry_buy,0,-2.05,10445.949999999999,10448.0
2018-09-14 09:41:11,Sell,1,7610.0,7610.0,7617.5,2.05,stop loss,50.0,47.95,10493.9,10493.9
2018-09-17 09:40:28,Sell,1,7527.0,7566.5,7517.0,2.05,entry_sell,0,-2.05,10491.85,10493.9
2018-09-17 09:41:01,Buy,1,7524.25,7524.25,7517.0,2.05,stop loss,55.0,52.95,10544.8,10544.8
2018-09-18 09:40:06,Buy,1,7517.75,7467.25,7527.75,2.05,entry_buy,0,-2.05,10542.75,10544.8
2018-09-18 09:40:12,Sell,1,7517.75,7517.75,7527.75,2.05,stop loss,0.0,-2.05,10540.7,10544.8
2018-09-19 09:40:00,Sell,1,7508.75,7546.0,7498.75,2.05,entry_sell,0,-2.05,10538.65,10544.8
2018-09-19 09:40:14,Buy,1,7506.75,7506.75,7498.75,2.05,stop loss,40.0,37.95,10576.6,10576.6
2018-09-20 09:43:07,Buy,1,7582.25,7552.75,7592.25,2.05,entry_buy,0,-2.05,10574.55,10576.6
2018-09-20 09:43:07,Sell,1,7582.75,7582.75,7592.25,2.05,stop loss,10.0,7.95,10582.5,10582.5
2018-09-21 09:40:02,Buy,1,7632.75,7614.0,7642.75,2.05,entry_buy,0,-2.05,10580.45,10582.5
2018-09-21 09:53:13,Sell,1,7614.0,7614.0,7642.75,2.05,stop loss,-375.0,-377.05,10203.4,10582.5
2018-09-24 09:44:17,Buy,1,7510.5,7473.75,7520.5,2.05,entry_buy,0,-2.05,10201.35,10582.5
2018-09-24 09:44:17,Sell,1,7512.5,7512.5,7520.5,2.05,stop loss,40.0,37.95,10239.3,10582.5
2018-09-25 09:46:07,Sell,1,7561.0,7584.5,7551.0,2.05,entry_sell,0,-2.05,10237.25,10582.5
2018-09-25 10:25:32,Buy,1,7560.5,7560.5,7551.0,2.05,stop loss,10.0,7.95,10245.2,10582.5
2018-09-26 10:04:11,Buy,1,7618.25,7592.75,7628.25,2.05,entry_buy,0,-2.05,10243.15,10582.5
2018-09-26 10:04:23,Sell,1,7619.0,7619.0,7628.25,2.05,stop loss,15.0,12.95,10256.1,10582.5
2018-09-27 09:40:03,Buy,1,7643.5,7621.5,7653.5,2.05,entry_buy,0,-2.05,10254.05,10582.5
2018-09-27 09:40:06,Sell,1,7644.5,7644.5,7653.5,2.05,stop loss,20.0,17.95,10272.0,10582.5
2018-09-28 09:45:08,Sell,1,7633.75,7652.5,7623.75,2.05,entry_sell,0,-2.05,10269.95,10582.5
2018-09-28 09:45:14,Buy,1,7631.0,7631.0,7623.75,2.05,stop loss,55.0,52.95,10322.9,10582.5
2018-10-01 09:40:14,Buy,1,7721.0,7691.25,7731.0,2.05,entry_buy,0,-2.05,10320.85,10582.5
2018-10-01 09:46:08,Sell,1,7722.25,7722.25,7731.0,2.05,stop loss,25.0,22.95,10343.8,10582.5
2018-10-02 09:40:24,Sell,1,7640.5,7673.0,7630.5,2.05,entry_sell,0,-2.05,10341.75,10582.5
2018-10-02 09:40:25,Buy,1,7638.5,7638.5,7630.5,2.05,stop loss,40.0,37.95,10379.7,10582.5
2018-10-03 09:42:27,Sell,1,7677.5,7698.0,7667.5,2.05,entry_sell,0,-2.05,10377.65,10582.5
2018-10-03 10:03:47,Buy,1,7698.0,7698.0,7667.5,2.05,stop loss,-410.0,-412.05,9965.6,10582.5
2018-10-04 09:40:33,Sell,1,7590.25,7632.75,7580.25,2.05,entry_sell,0,-2.05,9963.55,10582.5
2018-10-04 09:40:33,Buy,1,7590.25,7590.25,7580.25,2.05,stop loss,0.0,-2.05,9961.5,10582.5
2018-10-05 09:45:19,Buy,1,7531.5,7486.75,7541.5,2.05,entry_buy,0,-2.05,9959.45,10582.5
2018-10-05 09:45:20,Sell,1,7531.5,7531.5,7541.5,2.05,stop loss,0.0,-2.05,9957.4,10582.5
2018-10-08 09:42:32,Buy,1,7393.75,7359.25,7403.75,2.05,entry_buy,0,-2.05,9955.35,10582.5
2018-10-08 09:42:32,Sell,1,7394.5,7394.5,7403.75,2.05,stop loss,15.0,12.95,9968.3,10582.5
2018-10-09 10:00:01,Buy,1,7414.0,7361.75,7424.0,2.05,entry_buy,0,-2.05,9966.25,10582.5
2018-10-09 10:00:03,Sell,1,7415.75,7415.75,7424.0,2.05,stop loss,35.0,32.95,9999.2,10582.5
2018-10-10 09:47:03,Sell,1,7302.25,7356.25,7292.25,2.05,entry_sell,0,-2.05,9997.15,10582.5
2018-10-10 09:47:10,Buy,1,7301.5,7301.5,7292.25,2.05,stop loss,15.0,12.95,10010.1,10582.5
2018-10-11 09:40:01,Sell,1,7018.25,7078.5,7008.25,2.05,entry_sell,0,-2.05,10008.05,10582.5
2018-10-11 09:40:14,Buy,1,7017.75,7017.75,7008.25,2.05,stop loss,10.0,7.95,10016.0,10582.5
2018-10-12 09:41:16,Sell,1,7130.5,7173.25,7120.5,2.05,entry_sell,0,-2.05,10013.95,10582.5
2018-10-12 09:41:19,Buy,1,7130.0,7130.0,7120.5,2.05,stop loss,10.0,7.95,10021.9,10582.5
2018-10-15 09:40:00,Sell,1,7105.75,7161.0,7095.75,2.05,entry_sell,0,-2.05,10019.85,10582.5
2018-10-15 09:55:35,Buy,1,7103.0,7103.0,7095.75,2.05,stop loss,55.0,52.95,10072.8,10582.5
2018-10-16 09:40:03,Buy,1,7173.0,7151.75,7183.0,2.05,entry_buy,0,-2.05,10070.75,10582.5
2018-10-16 09:40:03,Sell,1,7174.5,7174.5,7183.0,2.05,stop loss,30.0,27.95,10098.7,10582.5
2018-10-17 10:00:04,Sell,1,7263.0,7335.0,7253.0,2.05,entry_sell,0,-2.05,10096.65,10582.5
2018-10-17 10:00:04,Buy,1,7262.0,7262.0,7253.0,2.05,stop loss,20.0,17.95,10114.6,10582.5
2018-10-18 10:00:13,Sell,1,7226.5,7270.5,7216.5,2.05,entry_sell,0,-2.05,10112.55,10582.5
2018-10-18 10:00:13,Buy,1,7225.0,7225.0,7216.5,2.05,stop loss,30.0,27.95,10140.5,10582.5
2018-10-19 09:41:04,Buy,1,7217.25,7171.25,7227.25,2.05,entry_buy,0,-2.05,10138.45,10582.5
2018-10-19 09:41:12,Sell,1,7217.75,7217.75,7227.25,2.05,stop loss,10.0,7.95,10146.4,10582.5
2018-10-22 09:41:29,Sell,1,7140.75,7183.0,7130.75,2.05,entry_sell,0,-2.05,10144.35,10582.5
2018-10-22 09:41:29,Buy,1,7140.5,7140.5,7130.75,2.05,stop loss,5.0,2.95,10147.3,10582.5
2018-10-23 10:01:24,Sell,1,7000.25,7049.25,6990.25,2.05,entry_sell,0,-2.05,10145.25,10582.5
2018-10-23 10:01:24,Buy,1,6999.0,6999.0,6990.25,2.05,stop loss,25.0,22.95,10168.2,10582.5
2018-10-24 09:48:58,Sell,1,7094.75,7131.0,7084.75,2.05,entry_sell,0,-2.05,10166.15,10582.5
2018-10-24 09:48:58,Buy,1,7093.0,7093.0,7084.75,2.05,stop loss,35.0,32.95,10199.1,10582.5
2018-10-25 09:40:49,Sell,1,6887.75,6923.5,6877.75,2.05,entry_sell,0,-2.05,10197.05,10582.5
2018-10-25 09:40:49,Buy,1,6887.75,6887.75,6877.75,2.05,stop loss,0.0,-2.05,10195.0,10582.5
2018-10-26 09:41:48,Buy,1,6863.75,6790.0,6873.75,2.05,entry_buy,0,-2.05,10192.949999999999,10582.5
2018-10-26 09:42:05,Sell,1,6864.5,6864.5,6873.75,2.05,stop loss,15.0,12.95,10205.9,10582.5
2018-10-29 09:41:58,Sell,1,6935.25,6969.0,6925.25,2.05,entry_sell,0,-2.05,10203.85,10582.5
2018-10-29 09:41:58,Buy,1,6935.0,6935.0,6925.25,2.05,stop loss,5.0,2.95,10206.8,10582.5
2018-10-30 09:41:30,Buy,1,6727.75,6661.0,6737.75,2.05,entry_buy,0,-2.05,10204.75,10582.5
2018-10-30 09:41:36,Sell,1,6727.75,6727.75,6737.75,2.05,stop loss,0.0,-2.05,10202.699999999999,10582.5
2018-10-31 09:40:14,Buy,1,6955.0,6927.25,6965.0,2.05,entry_buy,0,-2.05,10200.65,10582.5
2018-10-31 09:41:46,Sell,1,6956.0,6956.0,6965.0,2.05,stop loss,20.0,17.95,10218.6,10582.5
2018-11-01 09:45:19,Sell,1,6979.0,7013.5,6969.0,2.05,entry_sell,0,-2.05,10216.55,10582.5
2018-11-01 09:45:21,Buy,1,6977.25,6977.25,6969.0,2.05,stop loss,35.0,32.95,10249.5,10582.5
2018-11-02 09:40:04,Buy,1,7069.75,7024.75,7079.75,2.05,entry_buy,0,-2.05,10247.449999999999,10582.5
2018-11-02 09:40:05,Sell,1,7069.75,7069.75,7079.75,2.05,stop loss,0.0,-2.05,10245.4,10582.5
2018-11-05 09:41:38,Sell,1,6922.25,6971.25,6912.25,2.05,entry_sell,0,-2.05,10243.35,10582.5
2018-11-05 09:42:17,Buy,1,6921.25,6921.25,6912.25,2.05,stop loss,20.0,17.95,10261.3,10582.5
2018-11-06 09:40:31,Buy,1,7009.75,6939.5,7019.75,2.05,entry_buy,0,-2.05,10259.25,10582.5
2018-11-06 09:40:33,Sell,1,7010.5,7010.5,7019.75,2.05,stop loss,15.0,12.95,10272.199999999999,10582.5
2018-11-07 09:40:06,Buy,1,7107.0,7061.75,7117.0,2.05,entry_buy,0,-2.05,10270.15,10582.5
2018-11-07 10:02:47,Sell,1,7108.0,7108.0,7117.0,2.05,stop loss,20.0,17.95,10288.1,10582.5
2018-11-08 09:52:54,Buy,1,7190.75,7153.5,7200.75,2.05,entry_buy,0,-2.05,10286.05,10582.5
2018-11-08 09:52:55,Sell,1,7190.75,7190.75,7200.75,2.05,stop loss,0.0,-2.05,10284.0,10582.5
2018-11-09 09:41:11,Sell,1,7076.0,7116.25,7066.0,2.05,entry_sell,0,-2.05,10281.949999999999,10582.5
2018-11-09 09:42:16,Buy,1,7073.5,7073.5,7066.0,2.05,stop loss,50.0,47.95,10329.9,10582.5
2018-11-12 09:40:58,Sell,1,6932.75,7009.0,6922.75,2.05,entry_sell,0,-2.05,10327.85,10582.5
2018-11-12 09:41:08,Buy,1,6932.0,6932.0,6922.75,2.05,stop loss,15.0,12.95,10340.8,10582.5
2018-11-13 09:40:00,Buy,1,6920.25,6863.5,6930.25,2.05,entry_buy,0,-2.05,10338.75,10582.5
2018-11-13 09:59:26,Sell,1,6863.5,6863.5,6930.25,2.05,stop loss,-1135.0,-1137.05,9201.699999999999,10582.5
2018-11-14 09:45:11,Buy,1,6924.25,6886.5,6934.25,2.05,entry_buy,0,-2.05,9199.65,10582.5
2018-11-14 09:45:13,Sell,1,6924.75,6924.75,6934.25,2.05,stop loss,10.0,7.95,9207.6,10582.5
2018-11-15 09:44:27,Buy,1,6795.0,6740.25,6805.0,2.05,entry_buy,0,-2.05,9205.55,10582.5
2018-11-15 09:44:28,Sell,1,6796.0,6796.0,6805.0,2.05,stop loss,20.0,17.95,9223.5,10582.5
2018-11-16 09:40:00,Sell,1,6809.75,6845.0,6799.75,2.05,entry_sell,0,-2.05,9221.45,10582.5
2018-11-16 09:40:06,Buy,1,6809.5,6809.5,6799.75,2.05,stop loss,5.0,2.95,9224.4,10582.5
2018-11-19 09:45:08,Sell,1,6812.75,6852.5,6802.75,2.05,entry_sell,0,-2.05,9222.35,10582.5
2018-11-19 09:45:12,Buy,1,6811.75,6811.75,6802.75,2.05,stop loss,20.0,17.95,9240.3,10582.5
2018-11-20 09:41:42,Buy,1,6551.25,6483.0,6561.25,2.05,entry_buy,0,-2.05,9238.25,10582.5
2018-11-20 09:42:20,Sell,1,6552.5,6552.5,6561.25,2.05,stop loss,25.0,22.95,9261.2,10582.5
2018-11-21 09:40:58,Sell,1,6609.75,6644.75,6599.75,2.05,entry_sell,0,-2.05,9259.15,10582.5
2018-11-21 09:40:58,Buy,1,6606.5,6606.5,6599.75,2.05,stop loss,65.0,62.95,9322.1,10582.5
2018-11-22 10:05:28,Sell,1,6545.75,6554.75,6535.75,2.05,entry_sell,0,-2.05,9320.05,10582.5
2018-11-22 10:20:32,Buy,1,6543.25,6543.25,6535.75,2.05,stop loss,50.0,47.95,9368.0,10582.5
2018-11-23 09:46:10,Buy,1,6583.5,6529.25,6593.5,2.05,entry_buy,0,-2.05,9365.95,10582.5
2018-11-23 09:46:19,Sell,1,6584.75,6584.75,6593.5,2.05,stop loss,25.0,22.95,9388.9,10582.5
2018-11-26 09:42:16,Buy,1,6629.5,6598.75,6639.5,2.05,entry_buy,0,-2.05,9386.85,10582.5
2018-11-26 09:42:16,Sell,1,6630.25,6630.25,6639.5,2.05,stop loss,15.0,12.95,9399.800000000001,10582.5
2018-11-27 09:40:19,Sell,1,6628.0,6668.5,6618.0,2.05,entry_sell,0,-2.05,9397.75,10582.5
2018-11-27 09:40:29,Buy,1,6626.5,6626.5,6618.0,2.05,stop loss,30.0,27.95,9425.7,10582.5
2018-11-28 09:44:13,Sell,1,6739.75,6765.0,6729.75,2.05,entry_sell,0,-2.05,9423.650000000001,10582.5
2018-11-28 09:44:18,Buy,1,6739.5,6739.5,6729.75,2.05,stop loss,5.0,2.95,9426.6,10582.5
2018-11-29 09:40:28,Sell,1,6881.75,6911.25,6871.75,2.05,entry_sell,0,-2.05,9424.550000000001,10582.5
2018-11-29 09:40:45,Buy,1,6881.5,6881.5,6871.75,2.05,stop loss,5.0,2.95,9427.5,10582.5
2018-11-30 09:42:11,Sell,1,6878.5,6909.75,6868.5,2.05,entry_sell,0,-2.05,9425.45,10582.5
2018-11-30 09:42:17,Buy,1,6878.25,6878.25,6868.5,2.05,stop loss,5.0,2.95,9428.400000000001,10582.5
2018-12-03 09:40:01,Sell,1,7065.0,7107.75,7055.0,2.05,entry_sell,0,-2.05,9426.35,10582.5
2018-12-03 09:41:40,Buy,1,7064.25,7064.25,7055.0,2.05,stop loss,15.0,12.95,9439.300000000001,10582.5
2018-12-04 09:53:38,Sell,1,7019.25,7046.75,7009.25,2.05,entry_sell,0,-2.05,9437.25,10582.5
2018-12-04 09:54:09,Buy,1,7015.25,7015.25,7009.25,2.05,stop loss,80.0,77.95,9515.2,10582.5
2018-12-06 09:45:39,Buy,1,6724.5,6643.75,6734.5,2.05,entry_buy,0,-2.05,9513.150000000001,10582.5
2018-12-06 09:45:39,Sell,1,6728.5,6728.5,6734.5,2.05,stop loss,80.0,77.95,9591.1,10582.5
2018-12-07 09:41:06,Buy,1,6840.25,6801.5,6850.25,2.05,entry_buy,0,-2.05,9589.050000000001,10582.5
2018-12-07 09:41:10,Sell,1,6840.5,6840.5,6850.25,2.05,stop loss,5.0,2.95,9592.0,10582.5
2018-12-10 09:43:10,Buy,1,6662.25,6602.25,6672.25,2.05,entry_buy,0,-2.05,9589.95,10582.5
2018-12-10 09:43:14,Sell,1,6662.75,6662.75,6672.25,2.05,stop loss,10.0,7.95,9597.900000000001,10582.5
2018-12-11 09:40:00,Sell,1,6764.75,6796.0,6754.75,2.05,entry_sell,0,-2.05,9595.85,10582.5
2018-12-11 10:10:13,Buy,1,6762.25,6762.25,6754.75,2.05,stop loss,50.0,47.95,9643.800000000001,10582.5
2018-12-13 09:40:50,Buy,1,6851.25,6813.5,6861.25,2.05,entry_buy,0,-2.05,9641.75,10582.5
2018-12-13 09:40:53,Sell,1,6853.75,6853.75,6861.25,2.05,stop loss,50.0,47.95,9689.7,10582.5
2018-12-14 09:47:56,Buy,1,6716.25,6679.5,6726.25,2.05,entry_buy,0,-2.05,9687.650000000001,10582.5
2018-12-14 09:58:47,Sell,1,6717.75,6717.75,6726.25,2.05,stop loss,30.0,27.95,9715.6,10582.5
2018-12-17 09:41:11,Sell,1,6558.75,6601.0,6548.75,2.05,entry_sell,0,-2.05,9713.550000000001,10582.5
2018-12-17 09:41:14,Buy,1,6558.0,6558.0,6548.75,2.05,stop loss,15.0,12.95,9726.5,10582.5
2018-12-18 09:43:51,Buy,1,6537.25,6507.75,6547.25,2.05,entry_buy,0,-2.05,9724.45,10582.5
2018-12-18 09:44:00,Sell,1,6538.0,6538.0,6547.25,2.05,stop loss,15.0,12.95,9737.400000000001,10582.5
2018-12-19 09:40:06,Buy,1,6530.25,6493.0,6540.25,2.05,entry_buy,0,-2.05,9735.35,10582.5
2018-12-19 09:40:06,Sell,1,6532.75,6532.75,6540.25,2.05,stop loss,50.0,47.95,9783.300000000001,10582.5
2018-12-20 09:43:27,Sell,1,6323.0,6381.25,6313.0,2.05,entry_sell,0,-2.05,9781.25,10582.5
2018-12-20 09:43:27,Buy,1,6323.0,6323.0,6313.0,2.05,stop loss,0.0,-2.05,9779.2,10582.5
2018-12-21 09:40:49,Sell,1,6278.25,6312.5,6268.25,2.05,entry_sell,0,-2.05,9777.150000000001,10582.5
2018-12-21 09:45:38,Buy,1,6277.25,6277.25,6268.25,2.05,stop loss,20.0,17.95,9795.1,10582.5
2018-12-24 09:42:25,Sell,1,6007.0,6066.75,5997.0,2.05,entry_sell,0,-2.05,9793.050000000001,10582.5
2018-12-24 09:42:32,Buy,1,6004.0,6004.0,5997.0,2.05,stop loss,60.0,57.95,9851.0,10582.5
2018-12-26 10:05:31,Sell,1,5975.25,6051.75,5965.25,2.05,entry_sell,0,-2.05,9848.95,10582.5
2018-12-26 10:05:50,Buy,1,5973.0,5973.0,5965.25,2.05,stop loss,45.0,42.95,9891.900000000001,10582.5
2018-12-27 09:48:27,Sell,1,6168.0,6228.25,6158.0,2.05,entry_sell,0,-2.05,9889.85,10582.5
2018-12-27 09:48:36,Buy,1,6163.5,6163.5,6158.0,2.05,stop loss,90.0,87.95,9977.800000000001,10582.5
2018-12-28 09:47:06,Buy,1,6348.0,6285.0,6358.0,2.05,entry_buy,0,-2.05,9975.75,10582.5
2018-12-28 10:24:24,Sell,1,6285.0,6285.0,6358.0,2.05,stop loss,-1260.0,-1262.05,8713.7,10582.5
2018-12-31 09:40:04,Buy,1,6376.25,6344.25,6386.25,2.05,entry_buy,0,-2.05,8711.650000000001,10582.5
2018-12-31 09:50:44,Sell,1,6344.25,6344.25,6386.25,2.05,stop loss,-640.0,-642.05,8069.6,10582.5
2019-01-02 09:45:12,Buy,1,6250.25,6205.5,6260.25,2.05,entry_buy,0,-2.05,8067.550000000001,10582.5
2019-01-02 09:45:14,Sell,1,6251.75,6251.75,6260.25,2.05,stop loss,30.0,27.95,8095.500000000001,10582.5
2019-01-03 09:40:10,Sell,1,6259.25,6304.25,6249.25,2.05,entry_sell,0,-2.05,8093.450000000001,10582.5
2019-01-03 09:46:35,Buy,1,6258.75,6258.75,6249.25,2.05,stop loss,10.0,7.95,8101.4000000000015,10582.5
2019-01-04 09:41:05,Buy,1,6274.75,6241.5,6284.75,2.05,entry_buy,0,-2.05,8099.350000000001,10582.5
2019-01-04 09:41:05,Sell,1,6274.75,6274.75,6284.75,2.05,stop loss,0.0,-2.05,8097.300000000001,10582.5
2019-01-07 09:48:14,Buy,1,6456.5,6425.0,6466.5,2.05,entry_buy,0,-2.05,8095.250000000001,10582.5
2019-01-07 09:48:25,Sell,1,6456.75,6456.75,6466.5,2.05,stop loss,5.0,2.95,8098.200000000001,10582.5
2019-01-08 09:47:43,Sell,1,6561.0,6586.25,6551.0,2.05,entry_sell,0,-2.05,8096.1500000000015,10582.5
2019-01-08 09:48:08,Buy,1,6558.0,6558.0,6551.0,2.05,stop loss,60.0,57.95,8154.100000000001,10582.5
2019-01-09 09:53:17,Buy,1,6606.0,6569.0,6616.0,2.05,entry_buy,0,-2.05,8152.050000000001,10582.5
2019-01-09 09:53:34,Sell,1,6607.0,6607.0,6616.0,2.05,stop loss,20.0,17.95,8170.000000000002,10582.5
2019-01-10 09:43:49,Sell,1,6545.75,6570.0,6535.75,2.05,entry_sell,0,-2.05,8167.950000000002,10582.5
2019-01-10 09:44:16,Buy,1,6544.0,6544.0,6535.75,2.05,stop loss,35.0,32.95,8200.900000000001,10582.5
2019-01-11 09:42:48,Sell,1,6582.25,6600.25,6572.25,2.05,entry_sell,0,-2.05,8198.850000000002,10582.5
2019-01-11 09:42:55,Buy,1,6581.5,6581.5,6572.25,2.05,stop loss,15.0,12.95,8211.800000000001,10582.5
2019-01-14 10:19:19,Buy,1,6553.25,6521.5,6563.25,2.05,entry_buy,0,-2.05,8209.750000000002,10582.5
2019-01-14 10:19:19,Sell,1,6553.5,6553.5,6563.25,2.05,stop loss,5.0,2.95,8212.7,10582.5
2019-01-15 09:43:18,Buy,1,6630.75,6576.0,6640.75,2.05,entry_buy,0,-2.05,8210.650000000001,10582.5
2019-01-15 09:43:18,Sell,1,6630.75,6630.75,6640.75,2.05,stop loss,0.0,-2.05,8208.600000000002,10582.5
2019-01-16 09:41:18,Buy,1,6708.25,6685.75,6718.25,2.05,entry_buy,0,-2.05,8206.550000000001,10582.5
2019-01-16 09:41:30,Sell,1,6708.75,6708.75,6718.25,2.05,stop loss,10.0,7.95,8214.500000000002,10582.5
2019-01-17 09:42:03,Buy,1,6670.25,6644.25,6680.25,2.05,entry_buy,0,-2.05,8212.450000000003,10582.5
2019-01-17 09:46:51,Sell,1,6670.5,6670.5,6680.25,2.05,stop loss,5.0,2.95,8215.400000000001,10582.5
2019-01-18 09:40:08,Sell,1,6758.0,6786.25,6748.0,2.05,entry_sell,0,-2.05,8213.350000000002,10582.5
2019-01-18 09:40:08,Buy,1,6757.0,6757.0,6748.0,2.05,stop loss,20.0,17.95,8231.300000000003,10582.5
2019-01-22 09:40:41,Sell,1,6736.0,6748.75,6726.0,2.05,entry_sell,0,-2.05,8229.250000000002,10582.5
2019-01-22 09:40:41,Buy,1,6734.5,6734.5,6726.0,2.05,stop loss,30.0,27.95,8257.200000000003,10582.5
2019-01-23 09:47:14,Buy,1,6712.5,6689.75,6722.5,2.05,entry_buy,0,-2.05,8255.150000000001,10582.5
2019-01-23 09:48:09,Sell,1,6713.25,6713.25,6722.5,2.05,stop loss,15.0,12.95,8268.100000000002,10582.5
2019-01-24 09:41:40,Sell,1,6674.25,6700.75,6664.25,2.05,entry_sell,0,-2.05,8266.050000000003,10582.5
2019-01-24 09:45:31,Buy,1,6700.75,6700.75,6664.25,2.05,stop loss,-530.0,-532.05,7734.000000000002,10582.5
2019-01-25 09:53:09,Buy,1,6764.0,6739.0,6774.0,2.05,entry_buy,0,-2.05,7731.950000000003,10582.5
2019-01-25 09:59:26,Sell,1,6765.5,6765.5,6774.0,2.05,stop loss,30.0,27.95,7759.9000000000015,10582.5
2019-01-28 09:40:18,Sell,1,6670.25,6703.75,6660.25,2.05,entry_sell,0,-2.05,7757.850000000002,10582.5
2019-01-28 09:49:06,Buy,1,6669.5,6669.5,6660.25,2.05,stop loss,15.0,12.95,7770.800000000001,10582.5
2019-01-29 09:40:16,Sell,1,6683.25,6709.75,6673.25,2.05,entry_sell,0,-2.05,7768.750000000002,10582.5
